timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.00000000,0,0
0.0333,  0.20811655,2.096489e-01,0
0.0667,  0.40711927,4.192979e-01,0
0.1000,  0.58829346,6.289468e-01,0
0.1333,  0.74370513,8.385958e-01,0
0.1667,  0.86654853,1.048245e+00,0
0.2000,  0.95144409,1.257894e+00,0
0.2333,  0.99467407,1.467543e+00,0
0.2667,  0.99434536,1.677192e+00,0
0.3000,  0.95047234,1.886841e+00,0
0.3333,  0.86497631,2.096489e+00,0
0.3667,  0.74160129,2.306138e+00,0
0.4000,  0.58575012,2.515787e+00,0
0.4333,  0.40424782,2.725436e+00,0
0.4667,  0.20504272,2.935085e+00,0
0.5000, -0.00314159,3.144734e+00,0
0.5333, -0.21118832,3.354383e+00,0
0.5667, -0.40998671,3.564032e+00,0
0.6000, -0.59083099,3.773681e+00,0
0.6333, -0.74580164,3.983330e+00,0
0.6667, -0.86811220,4.192979e+00,0
0.7000, -0.95240644,4.402628e+00,0
0.7333, -0.99499297,4.612277e+00,0
0.7667, -0.99400683,4.821926e+00,0
0.8000, -0.94949122,5.031575e+00,0
0.8333, -0.86339555,5.241224e+00,0
0.8667, -0.73949012,5.450873e+00,0
0.9000, -0.58320100,5.660522e+00,0
0.9333, -0.40137237,5.870171e+00,0
0.9667, -0.20196687,6.079820e+00,0
1.0000,  0.00628314,6.283185e-03,0
1.0333,  0.21425801,2.159321e-01,0
1.0667,  0.41285010,4.255811e-01,0
1.1000,  0.59336269,6.352300e-01,0
1.1333,  0.74789078,8.448790e-01,0
1.1667,  0.86966729,1.054528e+00,0
1.2000,  0.95335939,1.264177e+00,0
1.2333,  0.99530204,1.473826e+00,0
1.2667,  0.99365850,1.683475e+00,0
1.3000,  0.94850072,1.893124e+00,0
1.3333,  0.86180627,2.102773e+00,0
1.3667,  0.73737166,2.312422e+00,0
1.4000,  0.58064612,2.522071e+00,0
1.4333,  0.39849296,2.731720e+00,0
1.4667,  0.19888903,2.941368e+00,0
1.5000, -0.00942464,3.151017e+00,0
1.5333, -0.21732558,3.360666e+00,0
1.5667, -0.41570942,3.570315e+00,0
1.6000, -0.59588854,3.779964e+00,0
1.6333, -0.74997255,3.989613e+00,0
1.6667, -0.87121381,4.199262e+00,0
1.7000, -0.95430294,4.408911e+00,0
1.7333, -0.99560130,4.618560e+00,0
1.7667, -0.99330035,4.828209e+00,0
1.8000, -0.94750087,5.037858e+00,0
1.8333, -0.86020849,5.247507e+00,0
1.8667, -0.73524592,5.457156e+00,0
1.9000, -0.57808551,5.666805e+00,0
1.9333, -0.39560962,5.876454e+00,0
1.9667, -0.19580922,6.086103e+00,0
2.0000,  0.01256604,1.256637e-02,0
2.0333,  0.22039101,2.222153e-01,0
2.0667,  0.41856463,4.318643e-01,0
2.1000,  0.59840850,6.415132e-01,0
2.1333,  0.75204691,8.511622e-01,0
2.1667,  0.87275173,1.060811e+00,0
2.2000,  0.95523706,1.270460e+00,0
2.2333,  0.99589072,1.480109e+00,0
2.2667,  0.99293240,1.689758e+00,0
2.3000,  0.94649166,1.899407e+00,0
2.3333,  0.85860221,2.109056e+00,0
2.3667,  0.73311292,2.318705e+00,0
2.4000,  0.57551920,2.528354e+00,0
2.4333,  0.39272238,2.738003e+00,0
2.4667,  0.19272748,2.947652e+00,0
2.5000, -0.01570732,3.157301e+00,0
2.5333, -0.22345426,3.366950e+00,0
2.5667, -0.42141572,3.576599e+00,0
2.6000, -0.60092256,3.786247e+00,0
2.6333, -0.75411385,3.995896e+00,0
2.6667, -0.87428103,4.205545e+00,0
2.7000, -0.95616176,4.415194e+00,0
2.7333, -0.99617032,4.624843e+00,0
2.7667, -0.99255466,4.834492e+00,0
2.8000, -0.94547311,5.044141e+00,0
2.8333, -0.85698747,5.253790e+00,0
2.8667, -0.73097269,5.463439e+00,0
2.9000, -0.57294720,5.673088e+00,0
2.9333, -0.38983125,5.882737e+00,0
2.9667, -0.18964384,6.092386e+00,0
3.0000,  0.01884844,1.884956e-02,0
3.0333,  0.22651531,2.284985e-01,0
3.0667,  0.42426264,4.381475e-01,0
3.1000,  0.60343069,6.477964e-01,0
3.1333,  0.75617335,8.574454e-01,0
3.1667,  0.87580171,1.067094e+00,0
3.2000,  0.95707702,1.276743e+00,0
3.2333,  0.99644009,1.486392e+00,0
3.2667,  0.99216711,1.696041e+00,0
3.3000,  0.94444523,1.905690e+00,0
3.3333,  0.85536426,2.115339e+00,0
3.3667,  0.72882524,2.324988e+00,0
3.4000,  0.57036956,2.534637e+00,0
3.4333,  0.38693629,2.744286e+00,0
3.4667,  0.18655833,2.953935e+00,0
3.5000, -0.02198938,3.163584e+00,0
3.5333, -0.22957412,3.373233e+00,0
3.5667, -0.42710538,3.582882e+00,0
3.6000, -0.60593286,3.792531e+00,0
3.6333, -0.75822538,4.002180e+00,0
3.6667, -0.87731374,4.211829e+00,0
3.7000, -0.95798284,4.421478e+00,0
3.7333, -0.99670002,4.631126e+00,0
3.7667, -0.99176978,4.840775e+00,0
3.8000, -0.94340802,5.050424e+00,0
3.8333, -0.85373261,5.260073e+00,0
3.8667, -0.72667060,5.469722e+00,0
3.9000, -0.56778628,5.679371e+00,0
3.9333, -0.38403750,5.889020e+00,0
3.9667, -0.18347098,6.098669e+00,0
4.0000,  0.02513010,2.513274e-02,0
4.0333,  0.23263067,2.347817e-01,0
4.0667,  0.42994390,4.444306e-01,0
4.1000,  0.60842906,6.540796e-01,0
4.1333,  0.76026993,8.637285e-01,0
4.1667,  0.87881711,1.073377e+00,0
4.2000,  0.95887920,1.283026e+00,0
4.2333,  0.99695011,1.492675e+00,0
4.2667,  0.99136265,1.702324e+00,0
4.3000,  0.94236151,1.911973e+00,0
4.3333,  0.85209254,2.121622e+00,0
4.3667,  0.72450879,2.331271e+00,0
4.4000,  0.56519740,2.540920e+00,0
4.4333,  0.38113492,2.750569e+00,0
4.4667,  0.18038181,2.960218e+00,0
4.5000, -0.02827057,3.169867e+00,0
4.5333, -0.23568492,3.379516e+00,0
4.5667, -0.43277818,3.589165e+00,0
4.6000, -0.61091924,3.798814e+00,0
4.6333, -0.76230698,4.008463e+00,0
4.6667, -0.88031181,4.218112e+00,0
4.7000, -0.95976609,4.427761e+00,0
4.7333, -0.99719037,4.637410e+00,0
4.7667, -0.99094575,4.847059e+00,0
4.8000, -0.94130570,5.056708e+00,0
4.8333, -0.85044405,5.266356e+00,0
4.8667, -0.72233982,5.476005e+00,0
4.9000, -0.56260294,5.685654e+00,0
4.9333, -0.37822858,5.895303e+00,0
4.9667, -0.17729087,6.104952e+00,0
5.0000,  0.03141076,3.141593e-02,0
5.0333,  0.23873685,2.410649e-01,0
5.0667,  0.43560819,4.507138e-01,0
5.1000,  0.61340340,6.603628e-01,0
5.1333,  0.76433650,8.700117e-01,0
5.1667,  0.88179782,1.079661e+00,0
5.2000,  0.96064352,1.289310e+00,0
5.2333,  0.99742078,1.498959e+00,0
5.2667,  0.99051906,1.708608e+00,0
5.3000,  0.94024059,1.918256e+00,0
5.3333,  0.84878718,2.127905e+00,0
5.3667,  0.72016373,2.337554e+00,0
5.4000,  0.56000292,2.547203e+00,0
5.4333,  0.37531851,2.756852e+00,0
5.4667,  0.17419817,2.966501e+00,0
5.5000, -0.03455064,3.176150e+00,0
5.5333, -0.24178641,3.385799e+00,0
5.5667, -0.43843389,3.595448e+00,0
5.6000, -0.61588151,3.805097e+00,0
5.6333, -0.76635848,4.014746e+00,0
5.6667, -0.88327513,4.224395e+00,0
5.7000, -0.96151146,4.434044e+00,0
5.7333, -0.99764135,4.643693e+00,0
5.7667, -0.99008259,4.853342e+00,0
5.8000, -0.93916621,5.062991e+00,0
5.8333, -0.84712192,5.272640e+00,0
5.8667, -0.71798053,5.482289e+00,0
5.9000, -0.55739739,5.691938e+00,0
5.9333, -0.37240473,5.901587e+00,0
5.9667, -0.17110376,6.111235e+00,0
6.0000,  0.03769018,3.769911e-02,0
6.0333,  0.24483360,2.473481e-01,0
6.0667,  0.44125527,4.569970e-01,0
6.1000,  0.61835353,6.666460e-01,0
6.1333,  0.76837289,8.762949e-01,0
6.1667,  0.88474372,1.085944e+00,0
6.2000,  0.96236991,1.295593e+00,0
6.2333,  0.99785207,1.505242e+00,0
6.2667,  0.98963635,1.714891e+00,0
6.3000,  0.93808255,1.924540e+00,0
6.3333,  0.84544831,2.134189e+00,0
6.3667,  0.71579024,2.343838e+00,0
6.4000,  0.55478634,2.553487e+00,0
6.4333,  0.36948728,2.763135e+00,0
6.4667,  0.16800765,2.972784e+00,0
6.5000, -0.04082935,3.182433e+00,0
6.5333, -0.24787836,3.392082e+00,0
6.5667, -0.44407230,3.601731e+00,0
6.6000, -0.62081945,3.811380e+00,0
6.6333, -0.77037972,4.021029e+00,0
6.6667, -0.88620358,4.230678e+00,0
6.7000, -0.96321887,4.440327e+00,0
6.7333, -0.99805294,4.649976e+00,0
6.7667, -0.98918035,4.859625e+00,0
6.8000, -0.93698964,5.069274e+00,0
6.8333, -0.84376635,5.278923e+00,0
6.8667, -0.71359289,5.488572e+00,0
6.9000, -0.55216983,5.698221e+00,0
6.9333, -0.36656618,5.907870e+00,0
6.9667, -0.16490989,6.117519e+00,0
7.0000,  0.04396812,4.398230e-02,0
7.0333,  0.25092068,2.536312e-01,0
7.0667,  0.44688494,4.632802e-01,0
7.1000,  0.62327925,6.729291e-01,0
7.1333,  0.77237895,8.825781e-01,0
7.1667,  0.88765469,1.092227e+00,0
7.2000,  0.96405832,1.301876e+00,0
7.2333,  0.99824397,1.511525e+00,0
7.2667,  0.98871458,1.721174e+00,0
7.3000,  0.93588748,1.930823e+00,0
7.3333,  0.84207606,2.140472e+00,0
7.3667,  0.71138850,2.350121e+00,0
7.4000,  0.54954786,2.559770e+00,0
7.4333,  0.36364146,2.769419e+00,0
